"","sp","Clim.scen","threshold","Model","FPA"
"1","Aspen.cltr1.MCPea","current","x10ptp","LowAICc",0.024810065179599
"2","Aspen.cltr1.MCPea","HLCmrmidbi","x10ptp","LowAICc",0.0175848702266127
"3","Aspen.cltr1.MCPea","HLCmemidbi","x10ptp","LowAICc",0.0142792687498504
"4","Aspen.cltr1.MCPea","HLCccmidbi","x10ptp","LowAICc",0.0156106276970475
"5","Aspen.cltr1.MCPea","HLCipmidbi","x10ptp","LowAICc",0.0173452654290919
"6","Aspen.cltr1.MCPea","LGMmrlgmbi","x10ptp","LowAICc",0.00478658207370943
"7","Aspen.cltr1.MCPea","LGMmelgmbi","x10ptp","LowAICc",0.0111596718967533
"8","Aspen.cltr1.MCPea","LGMcclgmbi","x10ptp","LowAICc",0.00684335199552372
"9","Aspen.cltr1.MCPea","LIGlig_30s","x10ptp","LowAICc",0.00553020133019955
"10","Aspen.cltr2.MCPea","current","x10ptp","LowAICc",0.0258069146007446
"11","Aspen.cltr2.MCPea","HLCmrmidbi","x10ptp","LowAICc",0.0299934751091773
"12","Aspen.cltr2.MCPea","HLCmemidbi","x10ptp","LowAICc",0.0350165419644614
"13","Aspen.cltr2.MCPea","HLCccmidbi","x10ptp","LowAICc",0.0399599826731555
"14","Aspen.cltr2.MCPea","HLCipmidbi","x10ptp","LowAICc",0.032663164721274
"15","Aspen.cltr2.MCPea","LGMmrlgmbi","x10ptp","LowAICc",0.0279337652435385
"16","Aspen.cltr2.MCPea","LGMmelgmbi","x10ptp","LowAICc",0.016668894223766
"17","Aspen.cltr2.MCPea","LGMcclgmbi","x10ptp","LowAICc",0.0338356264091829
"18","Aspen.cltr2.MCPea","LIGlig_30s","x10ptp","LowAICc",0.0185764089007208
"19","Aspen.cltr3.MCPea","current","x10ptp","LowAICc",0.135628638359318
"20","Aspen.cltr3.MCPea","HLCmrmidbi","x10ptp","LowAICc",0.132156708948786
"21","Aspen.cltr3.MCPea","HLCmemidbi","x10ptp","LowAICc",0.146595557016793
"22","Aspen.cltr3.MCPea","HLCccmidbi","x10ptp","LowAICc",0.111094998920569
"23","Aspen.cltr3.MCPea","HLCipmidbi","x10ptp","LowAICc",0.147497595500606
"24","Aspen.cltr3.MCPea","LGMmrlgmbi","x10ptp","LowAICc",0.0149444573010905
"25","Aspen.cltr3.MCPea","LGMmelgmbi","x10ptp","LowAICc",0.0265457044424298
"26","Aspen.cltr3.MCPea","LGMcclgmbi","x10ptp","LowAICc",0.016809461654824
"27","Aspen.cltr3.MCPea","LIGlig_30s","x10ptp","LowAICc",0.0852973559403794
