"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"1","L_0.5","L",0.5,0.8392,0.771015548877166,0.0408396576351224,0.0793578606907079,0.0492613168959932,0.303736415001874,0.14118770191477,0.0140750670241287,0.000466593353410624,37449.6157887642,1507.70003767344,0,16,"",105
"2","P_0.5","P",0.5,0.8852,0.886426358409727,0.0143024744400225,0.0322353168855201,0.0124610191398366,0.221231874657672,0.106162206956115,0.00737265415549598,0.000217424117186208,36158.6067366161,216.690985525391,8.75388446004989e-48,42,"",59
"3","Q_0.5","Q",0.5,0.8579,0.845678413726253,0.00714997251914535,0.0283177775472188,0.00569904193239502,0.158969702211076,0.0249501646984535,0.00536193029490617,0.00011500118594973,36638.6236589844,696.707907893659,5.10329304979398e-152,10,"",94
"4","H_0.5","H",0.5,0.898,0.864824937930612,0.00733244885582554,0.0433455650668081,0.00792934014724553,0.275523220617487,0.0808057929382312,0.0301752716999625,0.00222002736528611,38557.6843341576,2615.76858306682,0,107,"",113
"5","LP_0.5","LP",0.5,0.8861,0.884500974642538,0.0145558581669883,0.0331328151514133,0.0131645600693811,0.229934201043558,0.10890618159108,0.00603217158176944,0.000145548375967627,36159.8586664781,217.942915387299,4.68109758525069e-48,49,"",60
"6","LQ_0.5","LQ",0.5,0.8795,0.86760625189181,0.0143528879190501,0.0348847794024112,0.0144480921286475,0.239337398022428,0.093739483988267,0.00804289544235925,0.000258752668386893,36237.8409594404,295.925208349661,5.4539095979155e-65,20,"",65
"7","LH_0.5","LH",0.5,0.8984,0.865049870906483,0.00716478556938782,0.0436706209002474,0.0079554233368241,0.271501772896307,0.0769442494198271,0.0301752716999625,0.00222002736528611,38571.4363511542,2629.52060006341,0,115,"",117
"8","PQ_0.5","PQ",0.5,0.887,0.888335520355876,0.0143802085390641,0.0321965748990138,0.0124310846098325,0.219882383464499,0.10851282124483,0.0046916890080429,8.80477829927621e-05,36117.0129364898,175.097185399049,9.4227951193472e-39,39,"",57
"9","PH_0.5","PH",0.5,0.898,0.862461951555248,0.00553974270009549,0.0421635143624847,0.0074570705110197,0.273525108824123,0.0740477766087589,0.0342039263166998,0.00243108288792001,38603.6540475266,2661.7382964358,0,126,"",120
"10","QH_0.5","QH",0.5,0.8984,0.867354137028309,0.00710364486118199,0.0418331441816816,0.0072920978133554,0.246688431491251,0.0655633557528499,0.0301734699760731,0.0023637303493612,38562.2175729919,2620.30182190115,0,112,"",114
"11","LPQ_0.5","LPQ",0.5,0.8873,0.88632189608017,0.0150516212376251,0.0332138012401564,0.0132289946312206,0.227928882354637,0.111232043268017,0.00268096514745308,2.87502964874325e-05,36121.101900428,179.186149337256,1.21975472965874e-39,45,"",58
"12","LPH_0.5","LPH",0.5,0.8983,0.867936833452247,0.00657257074020049,0.0402046069037853,0.00663529849699718,0.248711767419067,0.0615336107172052,0.0321877972844418,0.00245780361560258,38572.1901007574,2630.27434966667,0,115,"",118
"13","LQH_0.5","LQH",0.5,0.8984,0.867410968264435,0.00626469732448741,0.0398321863126769,0.00635966071386992,0.225246115483294,0.0492420620807924,0.0295032286892098,0.00223737137939364,38562.2175729919,2620.30182190115,0,112,"",115
