"","sp","Clim.scen","threshold","Model","TotSuitArea"
"1","Aspen.cltr1.MCPea","current","x10ptp","LowAICc",555315
"2","Aspen.cltr1.MCPea","HLCmrmidbi","x10ptp","LowAICc",393596
"3","Aspen.cltr1.MCPea","HLCmemidbi","x10ptp","LowAICc",319608
"4","Aspen.cltr1.MCPea","HLCccmidbi","x10ptp","LowAICc",349407
"5","Aspen.cltr1.MCPea","HLCipmidbi","x10ptp","LowAICc",388233
"6","Aspen.cltr1.MCPea","LGMmrlgmbi","x10ptp","LowAICc",133512
"7","Aspen.cltr1.MCPea","LGMmelgmbi","x10ptp","LowAICc",311277
"8","Aspen.cltr1.MCPea","LGMcclgmbi","x10ptp","LowAICc",190882
"9","Aspen.cltr1.MCPea","LIGlig_30s","x10ptp","LowAICc",124066
"10","Aspen.cltr2.MCPea","current","x10ptp","LowAICc",577627
"11","Aspen.cltr2.MCPea","HLCmrmidbi","x10ptp","LowAICc",671333
"12","Aspen.cltr2.MCPea","HLCmemidbi","x10ptp","LowAICc",783763
"13","Aspen.cltr2.MCPea","HLCccmidbi","x10ptp","LowAICc",894410
"14","Aspen.cltr2.MCPea","HLCipmidbi","x10ptp","LowAICc",731088
"15","Aspen.cltr2.MCPea","LGMmrlgmbi","x10ptp","LowAICc",779157
"16","Aspen.cltr2.MCPea","LGMmelgmbi","x10ptp","LowAICc",464946
"17","Aspen.cltr2.MCPea","LGMcclgmbi","x10ptp","LowAICc",943778
"18","Aspen.cltr2.MCPea","LIGlig_30s","x10ptp","LowAICc",416748
"19","Aspen.cltr3.MCPea","current","x10ptp","LowAICc",3035728
"20","Aspen.cltr3.MCPea","HLCmrmidbi","x10ptp","LowAICc",2958017
"21","Aspen.cltr3.MCPea","HLCmemidbi","x10ptp","LowAICc",3281197
"22","Aspen.cltr3.MCPea","HLCccmidbi","x10ptp","LowAICc",2486600
"23","Aspen.cltr3.MCPea","HLCipmidbi","x10ptp","LowAICc",3301387
"24","Aspen.cltr3.MCPea","LGMmrlgmbi","x10ptp","LowAICc",416846
"25","Aspen.cltr3.MCPea","LGMmelgmbi","x10ptp","LowAICc",740440
"26","Aspen.cltr3.MCPea","LGMcclgmbi","x10ptp","LowAICc",468867
"27","Aspen.cltr3.MCPea","LIGlig_30s","x10ptp","LowAICc",1913585
