"","sp","Clim.scen","threshold","Model","FPA"
"1","Aspen","current","mtp","LowAICc",1
"2","Aspen","HLCmrmidbi","mtp","LowAICc",1
"3","Aspen","HLCmemidbi","mtp","LowAICc",1
"4","Aspen","HLCccmidbi","mtp","LowAICc",1
"5","Aspen","HLCipmidbi","mtp","LowAICc",1
"6","Aspen","LGMmrlgmbi","mtp","LowAICc",1
"7","Aspen","LGMmelgmbi","mtp","LowAICc",1
"8","Aspen","LGMcclgmbi","mtp","LowAICc",1
"9","Aspen","LIGlig_30s","mtp","LowAICc",1
"10","Aspen","current","x10ptp","LowAICc",0.325
"11","Aspen","HLCmrmidbi","x10ptp","LowAICc",0.27
"12","Aspen","HLCmemidbi","x10ptp","LowAICc",0.316
"13","Aspen","HLCccmidbi","x10ptp","LowAICc",0.302
"14","Aspen","HLCipmidbi","x10ptp","LowAICc",0.348
"15","Aspen","LGMmrlgmbi","x10ptp","LowAICc",0.061
"16","Aspen","LGMmelgmbi","x10ptp","LowAICc",0.123
"17","Aspen","LGMcclgmbi","x10ptp","LowAICc",0.088
"18","Aspen","LIGlig_30s","x10ptp","LowAICc",0.286
