"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"1","L_0.5","L",0.5,0.7173,0.63963095,0.0354897289853358,0.0936080333333333,0.0362385987679135,0.2604,0.06091456,0.0036,5.184e-05,138989.372944609,3957.18164521336,0,14,"",113
"2","P_0.5","P",0.5,0.8019,0.76366985,0.0113367424971478,0.0511270533333333,0.0119836662223619,0.1504,0.0180919466666667,0.0012,5.76e-06,135795.607071763,763.415772367443,1.68411306186044e-166,54,"",67
"3","Q_0.5","Q",0.5,0.7629,0.70803042,0.0405681156142903,0.0881838066666667,0.0389778067144506,0.2078,0.0479856533333333,0.0034,4.624e-05,137100.470971734,2068.27967233866,0,13,"",97
"4","H_0.5","H",0.5,0.8214,0.73420796,0.00919040851464879,0.08869117,0.0171307496104685,0.2344,0.06069376,0.0074,0.00021904,135123.206218572,91.0149191761448,1.72330174682683e-20,185,"",7
"5","LP_0.5","LP",0.5,0.8018,0.75424657,0.0156949833879459,0.0578967533333333,0.0188793852720581,0.1734,0.0283794666666667,0.0018,1.296e-05,135771.173240974,738.981941578764,3.40494566414602e-161,59,"",59
"6","LQ_0.5","LQ",0.5,0.7899,0.73535226,0.0181722504418922,0.0624717733333334,0.0259329423665359,0.2182,0.0372959466666667,0.0052,0.00010816,136099.714755958,1067.5234565624,1.54962519586035e-232,21,"",73
"7","LH_0.5","LH",0.5,0.8214,0.73401495,0.00891643381583733,0.08940676,0.0167022992758019,0.2378,0.0591370133333333,0.0074,0.00021904,135124.370921964,92.1796225685102,9.62607409052389e-21,183,"",8
"8","PQ_0.5","PQ",0.5,0.8028,0.76490342,0.00843173919209975,0.0401769433333334,0.0120508424858305,0.132,0.01149824,0.0016,1.024e-05,135739.323757225,707.13245782943,2.80632333671271e-154,58,"",58
"9","PH_0.5","PH",0.5,0.8228,0.73289543,0.00972301951936434,0.0950699833333334,0.0151106523360743,0.2366,0.0639698666666667,0.0078,0.00024336,135032.191299396,0,0.999999799148565,172,"LowAICc",1
"10","QH_0.5","QH",0.5,0.8211,0.7325595,0.00934484893162975,0.0926883433333333,0.0165188084279307,0.2354,0.06212496,0.0068,0.00018496,135094.457545545,62.2662461492291,3.01339703802686e-14,170,"",4
"11","LPQ_0.5","LPQ",0.5,0.8024,0.75263388,0.0122369586045876,0.06006693,0.0158491375472325,0.1726,0.0253053333333333,0.0014,7.84e-06,135731.80248761,699.611188214505,1.20603705936465e-152,59,"",57
"12","LPH_0.5","LPH",0.5,0.8222,0.73060694,0.00900073689912508,0.100152236666667,0.0140389481120447,0.245,0.0614175466666667,0.0086,0.00029584,135098.950335715,66.7590363190975,3.18756733354384e-15,193,"",6
"13","LQH_0.5","LQH",0.5,0.8211,0.73235786,0.00930308467517914,0.0927708833333334,0.0166001879742209,0.2368,0.0617066666666667,0.0066,0.00017424,135094.457545545,62.2662461492291,3.01339703802686e-14,170,"",5
"14","PQH_0.5","PQH",0.5,0.8219,0.73001503,0.00837478573670742,0.100136316666667,0.01355507478427,0.2376,0.0587456,0.0078,0.00024336,135063.032705427,30.8414060311625,2.0085085556426e-07,176,"",2
"15","LPQH_0.5","LPQH",0.5,0.8216,0.73245024,0.00920922868307176,0.0957338666666667,0.0145392937374994,0.2282,0.0623775466666667,0.0078,0.00024336,135088.778066014,56.5867666185077,5.15631769023222e-13,178,"",3
"16","L_1","L",1,0.6945,0.64063764,0.0285255225178217,0.08117589,0.0280429655357205,0.228,0.0464055466666667,0.0028,3.136e-05,139493.71544759,4461.52414819473,0,11,"",114
"17","P_1","P",1,0.7967,0.74738393,0.00658216557339363,0.0553305933333333,0.0109596896568877,0.1472,0.0113642666666667,0.0036,5.184e-05,136032.11660544,999.925306044053,7.39568742427263e-218,41,"",70
