"","Species","Longitude","Latitude","optional"
"1:1","Populus_tremuloides",-80.02,41.729999975862,TRUE
"1:2","Populus_tremuloides",-74.92,41.8299999760412,TRUE
"1:3","Populus_tremuloides",-120.26819,39.4351899715536,TRUE
"1:4","Populus_tremuloides",-118.453,37.132999966936,TRUE
"1:5","Populus_tremuloides",-119.155,37.3359999673513,TRUE
"1:6","Populus_tremuloides",-120.555,39.3149999713187,TRUE
"1:7","Populus_tremuloides",-123,40.9999999745312,TRUE
"1:8","Populus_tremuloides",-118.14203,37.4953199676765,TRUE
"1:9","Populus_tremuloides",-122.9398,41.2723999750324,TRUE
"1:10","Populus_tremuloides",-123.450833,41.3769439752233,TRUE
"1:11","Populus_tremuloides",-118.155212,37.5473669677824,TRUE
"1:12","Populus_tremuloides",-122.336197,41.3315009751405,TRUE
"1:13","Populus_tremuloides",-122.0084,41.2265999749485,TRUE
"1:14","Populus_tremuloides",-118.165126,37.5052319676966,TRUE
"1:15","Populus_tremuloides",-123.1788,41.555199975547,TRUE
"1:16","Populus_tremuloides",-119.262836,38.4331719695718,TRUE
"1:17","Populus_tremuloides",-119.5717,38.6082999699218,TRUE
"1:18","Populus_tremuloides",-118.165126,37.5052319676966,TRUE
"1:19","Populus_tremuloides",-119.161924,38.1666549690367,TRUE
"1:20","Populus_tremuloides",-118.609,37.2312999671373,TRUE
"1:21","Populus_tremuloides",-118.7411,37.4490999675822,TRUE
"1:22","Populus_tremuloides",-118.7369,37.4525999675894,TRUE
"1:23","Populus_tremuloides",-119.2636,38.0220999687452,TRUE
"1:24","Populus_tremuloides",-118.483257,37.1267579669233,TRUE
"1:25","Populus_tremuloides",-121.4907,40.5323999736583,TRUE
"1:26","Populus_tremuloides",-118.196754,37.4467889675775,TRUE
"1:27","Populus_tremuloides",-120.0784,38.4110999695277,TRUE
"1:28","Populus_tremuloides",-116.8067,34.151399960779,TRUE
"1:29","Populus_tremuloides",-116.8067,34.151399960779,TRUE
"1:30","Populus_tremuloides",-121.489167,39.9474999725457,TRUE
"1:31","Populus_tremuloides",-118.7867,37.8092699683146,TRUE
"1:32","Populus_tremuloides",-118.67393,37.7806799682566,TRUE
"1:33","Populus_tremuloides",-89.67,44.7999999809729,TRUE
